2021-10-16 18:34:38, DEBUG: Popen(['git', 'cat-file', '--batch-check'], cwd=/home/jia/Documents/MasterProject/CrowdNav-master/crowd_nav, universal_newlines=False, shell=None, istream=<valid stream>)
2021-10-16 18:34:38, INFO: Current git head hash code: %s
2021-10-16 18:34:38, INFO: Using device: cpu
2021-10-16 18:34:38, INFO: Policy: LSTM-GA3C w/o pairwise interaction module
2021-10-16 18:34:38, INFO: human number: 5
2021-10-16 18:34:38, INFO: Not randomize human's radius and preferred speed
2021-10-16 18:34:38, INFO: Training simulation: circle_crossing, test simulation: circle_crossing
2021-10-16 18:34:38, INFO: Square width: 10.0, circle width: 4.0
2021-10-16 18:34:38, INFO: Current learning rate: 0.010000
2021-10-16 18:34:38, INFO: Orca_danger_dist: 1.00
2021-10-16 18:34:38, INFO: Policy: ORCA_discrete without occupancy map
2021-10-16 18:34:38, INFO: Dynamic Obstacle Set FALSE!
2021-10-16 18:34:38, DEBUG: update action set TRUE
2021-10-16 18:37:30, INFO: TRAIN has success rate: 0.61, collision rate: 0.19, nav time: 15.16, total reward: 0.0679
2021-10-16 18:37:38, DEBUG: Average loss in epoch 0: 1.32E-03
2021-10-16 18:37:46, DEBUG: Average loss in epoch 1: 1.24E-03
2021-10-16 18:37:46, INFO: Finish imitation learning. Weights saved.
2021-10-16 18:37:46, INFO: Experience set size: 10000/10000
2021-10-16 18:37:46, INFO: Agent is invisible and has holonomic kinematic constraint
2021-10-16 18:37:46, INFO: Current learning rate: 0.001000
2021-10-16 18:41:06, INFO: TRAIN in episode 41 has success rate: 1.00, collision rate: 0.00, nav time: 18.50, total reward: 0.1462, loss: -5.00E-01
2021-10-16 18:41:12, INFO: TRAIN in episode 42 has success rate: 1.00, collision rate: 0.00, nav time: 18.25, total reward: 0.1501, loss: -4.95E-01
2021-10-16 18:41:16, INFO: TRAIN in episode 43 has success rate: 1.00, collision rate: 0.00, nav time: 14.75, total reward: 0.1970, loss: -4.80E-01
2021-10-16 18:41:21, INFO: TRAIN in episode 44 has success rate: 1.00, collision rate: 0.00, nav time: 14.50, total reward: 0.2228, loss: -7.84E-01
2021-10-16 18:41:24, INFO: TRAIN in episode 45 has success rate: 1.00, collision rate: 0.00, nav time: 12.00, total reward: 0.2893, loss: -5.44E-01
2021-10-16 18:41:29, INFO: TRAIN in episode 46 has success rate: 1.00, collision rate: 0.00, nav time: 13.75, total reward: 0.2411, loss: -7.24E-01
2021-10-16 18:41:34, INFO: TRAIN in episode 47 has success rate: 1.00, collision rate: 0.00, nav time: 17.00, total reward: 0.1712, loss: -6.09E-01
2021-10-16 18:41:39, INFO: TRAIN in episode 48 has success rate: 1.00, collision rate: 0.00, nav time: 16.25, total reward: 0.1626, loss: -5.78E-01
2021-10-16 18:41:43, INFO: TRAIN in episode 49 has success rate: 1.00, collision rate: 0.00, nav time: 13.75, total reward: 0.2411, loss: -4.29E-01
2021-10-16 18:41:48, INFO: TRAIN in episode 50 has success rate: 1.00, collision rate: 0.00, nav time: 15.50, total reward: 0.2005, loss: -4.77E-01
2021-10-16 18:41:53, INFO: TRAIN in episode 51 has success rate: 1.00, collision rate: 0.00, nav time: 15.00, total reward: 0.1650, loss: -6.12E-01
2021-10-16 18:41:58, INFO: TRAIN in episode 52 has success rate: 1.00, collision rate: 0.00, nav time: 16.50, total reward: 0.1694, loss: -7.78E-01
2021-10-16 18:42:03, INFO: TRAIN in episode 53 has success rate: 1.00, collision rate: 0.00, nav time: 15.00, total reward: 0.1856, loss: -7.00E-01
